;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Frequency modes [Hz];;;;;;;;;;;Frequency difference of modes [Hz];;;;;;;
;;F1;F2;F3;F4;F5;F6;F7;;;;;F1;F2;F3;F4;F5;F6;F7;
;Blade 1;4075;6795;8385;10705;11995;14735;16060;;;;Blade 1;-17;-89;-55;48;40;-282;-175;
;Blade 2;4130;6930;8505;10795;11975;15245;16290;;;;Blade 2;38;46;65;138;20;228;55;
;Blade 3;4070;6860;8455;10630;12045;15020;16255;;;;Blade 3;-22;-24;15;-27;90;3;20;
;Blade 4;4075;6885;8450;10465;11945;15075;16030;;;;Blade 4;-17;1;10;-192;-10;58;-205;
;Blade 5;4055;6850;8390;10615;11905;15040;16255;;;;Blade 5;-37;-34;-50;-42;-50;23;20;
;Blade 6;4060;6860;8490;10620;11805;14570;16110;;;;Blade 6;-32;-24;50;-37;-150;-447;-125;
;Blade 7;4085;6825;8420;10440;11870;15045;16600;;;;Blade 7;-7;-59;-20;-217;-85;28;365;
;Blade 8;4125;6840;8335;10585;11985;15080;16280;;;;Blade 8;33;-44;-105;-72;30;63;45;
;Blade 9;4140;6950;8450;10750;12075;15145;16285;;;;Blade 9;48;66;10;93;120;128;50;
;Blade 10;4065;6880;8445;10705;12010;15160;16300;;;;Blade 10;-27;-4;5;48;55;143;65;
;Blade 11;4100;6980;8490;10815;11850;14995;16225;;;;Blade 11;8;96;50;158;-105;-22;-10;
;Blade 12;4105;6930;8475;10660;11910;15260;16225;;;;Blade 12;13;46;35;3;-45;243;-10;
;Blade 13;4110;6905;8435;10760;12050;14855;16135;;;;Blade 13;18;21;-5;103;95;-162;-100;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Frequency modes [Hz];;;;;;;;;;;;;;;;;;
;;F1;F2;F3;F4;F5;F6;F7;;;;;;;;;;;;
;Average;4092;6884;8440;10657;11955;15017;16235;;;;;;;;;;;;
;Standard deviation;27;51;46;111;80;189;137;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
